Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Watch Time,Time Keeping,135454,POINT,1.664,1.664,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,START/STOP,Time Keeping,,STATE,11.908,1157.357,1145.449,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,16.659,16.659,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,17.909,17.909,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,18.658,18.658,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,20.161,20.161,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,21.412,21.412,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,22.911,22.911,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,26.660,26.660,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,27.411,27.411,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,28.159,28.159,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,29.410,29.410,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,31.910,31.910,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,33.159,33.159,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,35.659,35.659,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,38.659,38.659,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,39.410,39.410,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,40.409,40.409,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,42.410,42.410,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,44.159,44.159,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,45.659,45.659,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,46.411,46.411,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,47.411,47.411,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,48.410,48.410,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,50.658,50.658,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,Feces|None|None,POINT,73.475,73.475,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,Feces|None|None,POINT,89.976,89.976,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,112.978,112.978,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,113.477,113.477,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,115.479,115.479,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,117.727,117.727,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,118.726,118.726,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,119.980,119.980,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,121.479,121.479,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,121.978,121.978,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,122.978,122.978,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,123.477,123.477,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,123.725,123.725,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,124.727,124.727,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,125.977,125.977,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,126.978,126.978,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,127.479,127.479,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,129.226,129.226,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,130.978,130.978,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,132.227,132.227,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,134.726,134.726,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,134.975,134.975,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,135.723,135.723,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,136.725,136.725,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,138.726,138.726,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,140.289,140.289,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,141.040,141.040,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,141.788,141.788,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,145.289,145.289,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,153.289,153.289,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,154.539,154.539,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,155.539,155.539,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,157.540,157.540,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,158.539,158.539,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,162.289,162.289,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,166.038,166.038,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,174.290,174.290,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,174.791,174.791,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,176.290,176.290,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,181.789,181.789,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,195.290,195.290,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,197.290,197.290,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,200.041,200.041,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,204.543,204.543,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,205.289,205.289,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,205.789,205.789,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,207.043,207.043,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,207.790,207.790,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,209.541,209.541,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,210.540,210.540,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,212.289,212.289,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,220.040,220.040,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,220.541,220.541,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,221.039,221.039,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,228.541,228.541,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,229.541,229.541,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,230.541,230.541,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,230.629,230.629,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,231.633,231.633,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,232.882,232.882,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,234.133,234.133,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,234.881,234.881,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,254.384,254.384,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,258.134,258.134,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,258.883,258.883,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,259.382,259.382,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Lost Time,Time Keeping,,STATE,261.911,270.417,8.506,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,279.168,279.168,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,279.416,279.416,NA,,
AQ_Sctaeniopterus_TP_2021-06-14_141427,2025-06-23 14:50:32,,/Users/ally/Documents/johnson lab/parrotfish bites/AQ_Sctaeniopterus_TP_2021-06-14_141427_001.MP4,1161.800,23.98,No focal subject,Bite,Foraging,None|None|None,POINT,280.417,280.417,NA,,
